model,bias,n_trials,n_variants,coefficient,std_error,t_value,p_value,cohens_d,control_mean,treatment_mean,significant_fdr
claude-3.5-sonnet,anchoring,1000,5,-0.5520000000000004,0.20675690530241048,-2.669802003433086,0.007589598649765666,-5.106217511415935e-07,540093.104,540092.552,True
deepseek-v3-together,anchoring,1000,5,5111.265940000015,17206.003205244324,0.29706294245267373,0.7664184556032081,0.0048366689995616744,509322.05746,514433.3234000001,False
gpt-4.1-mini,anchoring,1000,5,59.69999999999999,44.79372183361943,1.3327760578089052,0.18260530497226501,5.5218710808047484e-05,540153.188,540212.888,False
llama-3.1-8b,anchoring,300,5,-134648580.74316677,134734360.46153945,-0.9993633419264483,0.31761871117240537,-0.08158933961105416,135203666.5317333,555085.7885666668,False
llama-3.3-70b,anchoring,962,5,519.397056447699,200.4575136745147,2.591058059769465,0.009568134747370071,0.0004856838892168357,534287.7594,578763.4112554112,True
minimax-m2.5,anchoring,34,3,1.7161228998932438,0.6998555799986039,2.452110048042579,0.01420212200708707,0.014168060074735402,127.62962962962963,330.0,True
mistral-large,anchoring,1000,5,1455.6645999999998,483.9932474923772,3.0076134482081307,0.002633078244192235,0.001327851506360587,547672.137,549127.8015999999,True
