fraction,n_trials,coef,se,pvalue,model,bias
1.0,504,0.017119851142769264,0.020558216568068312,0.40498584069202126,gemini-2.5-flash,status_quo_bias
0.5,251,0.018592272766504395,0.02924448085403844,0.5249372846541218,gemini-2.5-flash,status_quo_bias
0.25,125,0.04406634896531392,0.03921163162547065,0.2610944473930704,gemini-2.5-flash,status_quo_bias
0.1,49,0.10547578791302425,0.05669024052240759,0.06280585430008659,gemini-2.5-flash,status_quo_bias
1.0,798,0.30654748736586007,0.026472547943223314,5.215206731368693e-31,gemini-2.5-flash,decoy_effect
0.5,398,0.29313180414052664,0.03745567044691636,5.032390641273502e-15,gemini-2.5-flash,decoy_effect
0.25,198,0.3174131294444352,0.05410960109131912,4.461250878879632e-09,gemini-2.5-flash,decoy_effect
0.1,78,0.3217529112060538,0.08863882157979472,0.0002834956926205021,gemini-2.5-flash,decoy_effect
1.0,1000,0.07599999999999997,0.013687515782137031,2.8160463771304758e-08,gemini-2.5-flash,confirmation_bias
0.5,500,0.04000000000000001,0.019449925541640777,0.03972826663258925,gemini-2.5-flash,confirmation_bias
0.25,250,0.02400000000000001,0.027750648559900126,0.3871240594352876,gemini-2.5-flash,confirmation_bias
0.1,100,0.02,0.04395355422192083,0.6490906969896022,gemini-2.5-flash,confirmation_bias
1.0,696,0.4427127301543699,0.027449933189591158,1.621682909554779e-58,gemini-2.5-flash,bandwagon_effect
0.5,345,0.43849641115287635,0.039541856779798504,1.4119414071131966e-28,gemini-2.5-flash,bandwagon_effect
0.25,170,0.40970306939132733,0.056996113288005495,6.562062567305674e-13,gemini-2.5-flash,bandwagon_effect
0.1,65,0.5283984817274611,0.08680050881916965,1.1468420588763984e-09,gemini-2.5-flash,bandwagon_effect
1.0,800,0.0,,,gemini-2.5-flash,authority_bias
0.5,400,0.0,,,gemini-2.5-flash,authority_bias
0.25,200,0.0,,,gemini-2.5-flash,authority_bias
0.1,80,0.0,,,gemini-2.5-flash,authority_bias
1.0,600,0.2966666666666665,0.020120813328878398,3.3493097187462983e-49,gpt-4.1-mini,framing_effect
0.5,300,0.30666666666666664,0.028305497731560204,2.3709733540759632e-27,gpt-4.1-mini,framing_effect
0.25,150,0.31999999999999995,0.039725082636697044,7.92426425225672e-16,gpt-4.1-mini,framing_effect
0.1,60,0.29999999999999993,0.06546536706646507,4.5928337050905276e-06,gpt-4.1-mini,framing_effect
1.0,800,0.0,,,gpt-4.1-mini,sunk_cost_fallacy
0.5,400,0.0,,,gpt-4.1-mini,sunk_cost_fallacy
0.25,200,0.0,,,gpt-4.1-mini,sunk_cost_fallacy
0.1,80,0.0,,,gpt-4.1-mini,sunk_cost_fallacy
1.0,600,,,,gpt-4.1-mini,status_quo_bias
0.5,300,,,,gpt-4.1-mini,status_quo_bias
0.25,150,,,,gpt-4.1-mini,status_quo_bias
0.1,60,,,,gpt-4.1-mini,status_quo_bias
1.0,800,0.2475,0.015609977037116671,1.2932364652086969e-56,gpt-4.1-mini,decoy_effect
0.5,400,0.25000000000000006,0.021787233499387333,1.769744885477106e-30,gpt-4.1-mini,decoy_effect
0.25,200,0.25,0.031008683658317254,7.489807203775016e-16,gpt-4.1-mini,decoy_effect
0.1,80,0.24999999999999997,0.050000000004000116,5.733031449477995e-07,gpt-4.1-mini,decoy_effect
1.0,1000,0.0,,,gpt-4.1-mini,confirmation_bias
0.5,500,0.0,,,gpt-4.1-mini,confirmation_bias
0.25,250,0.0,,,gpt-4.1-mini,confirmation_bias
0.1,100,0.0,,,gpt-4.1-mini,confirmation_bias
1.0,800,-0.004999999999999994,0.003524398328807031,0.15599178616697787,gpt-4.1-mini,bandwagon_effect
0.5,400,-0.004999999999999997,0.004999999949431974,0.3173105029685216,gpt-4.1-mini,bandwagon_effect
0.25,200,0.0,1.058979413686248e-09,1.0,gpt-4.1-mini,bandwagon_effect
0.1,80,0.0,,,gpt-4.1-mini,bandwagon_effect
1.0,800,0.0,,,gpt-4.1-mini,authority_bias
0.5,400,0.0,,,gpt-4.1-mini,authority_bias
0.25,200,0.0,,,gpt-4.1-mini,authority_bias
0.1,80,0.0,,,gpt-4.1-mini,authority_bias
1.0,171,0.18046567039281708,0.05135081092040393,0.0004408009207605802,llama-3.1-8b,framing_effect
0.5,85,0.20131510950977452,0.07200316742387275,0.005175217877823131,llama-3.1-8b,framing_effect
0.25,40,0.22638996025887062,0.123189504406102,0.06610110910035047,llama-3.1-8b,framing_effect
1.0,239,0.024964807849110322,0.014350121667486003,0.08191291912719391,llama-3.1-8b,sunk_cost_fallacy
0.5,119,0.03287545152556974,0.02324069273279719,0.15719631655953353,llama-3.1-8b,sunk_cost_fallacy
0.25,56,0.0,,,llama-3.1-8b,sunk_cost_fallacy
0.1,23,0.0,,,llama-3.1-8b,sunk_cost_fallacy
1.0,170,0.21369380503917043,0.05565559200661951,0.00012324760797370826,llama-3.1-8b,status_quo_bias
0.5,83,0.2431765553723782,0.07825443783410187,0.0018866972734087066,llama-3.1-8b,status_quo_bias
0.25,39,0.3187683532200496,0.13476644251590747,0.018013562518923026,llama-3.1-8b,status_quo_bias
1.0,234,0.8889895737790813,0.028695563842096046,1.0014109451134867e-210,llama-3.1-8b,decoy_effect
0.5,116,0.8795754076698012,0.04180077076599484,2.7022602994789435e-98,llama-3.1-8b,decoy_effect
0.25,56,0.8571428571428571,0.06482045526337737,6.434291864918803e-40,llama-3.1-8b,decoy_effect
0.1,20,0.8900901138532065,0.09858590925692096,1.7392434324309953e-19,llama-3.1-8b,decoy_effect
1.0,261,0.09700923292299181,0.036555013981272096,0.007959397411075167,llama-3.1-8b,confirmation_bias
0.5,130,0.030544719467410084,0.04377275049349799,0.485300933465315,llama-3.1-8b,confirmation_bias
0.25,61,0.06884213255163293,0.058082263545074876,0.235917733606541,llama-3.1-8b,confirmation_bias
0.1,23,0.07342158221183821,0.09048010920718765,0.41709779381625356,llama-3.1-8b,confirmation_bias
1.0,230,-0.11278775055563511,0.03606791673145685,0.0017654372853792065,llama-3.1-8b,bandwagon_effect
0.5,114,-0.09774448140596165,0.05371147569607534,0.06878850926674313,llama-3.1-8b,bandwagon_effect
0.25,55,-0.04224960257221605,0.07923920768294386,0.5939016313600549,llama-3.1-8b,bandwagon_effect
