model,control,treatment,diff
claude-3.5-sonnet,0.024791666666666667,0.04125,0.016458333333333335
deepseek-v3-together,0.005625,0.009791666666666667,0.0041666666666666675
gemini-2.5-flash,0.30645833333333333,0.3385416666666667,0.03208333333333335
gpt-4.1-mini,0.0,0.0,0.0
llama-3.1-8b,0.0006944444444444445,0.001388888888888889,0.0006944444444444445
llama-3.3-70b,0.3005586592178771,0.33128491620111733,0.03072625698324022
minimax-m2.5,0.82375,0.9004166666666666,0.07666666666666666
mistral-large,0.0,0.0,0.0
