bias_name,model_name,strategy,bsi_mean,sigma_stat,sigma_sys,sigma_tot,p_value,significant,n_variants,parse_failure_rate,significant_bh
status_quo_bias,deepseek-v3-together,baseline,0.29292929292929293,0.0473818248829061,0.26868686868686864,0.2728326790067293,0.09979348266383926,False,3,0.005,False
primacy_recency,gemini-2.5-flash,baseline,1.0,0.0,0.0,0.0,,False,1,0.11833333333333333,False
status_quo_bias,llama-3.3-70b,baseline,0.0,0.0,0.0,0.0,,False,3,0.6666666666666666,False
decoy_effect,deepseek-v3-together,baseline,0.36749999999999994,0.04992618454589908,0.2971391368814728,0.30130431555153303,0.044889160839448,True,4,0.0,False
confirmation_bias,deepseek-v3-together,baseline,0.034,0.013034875604562698,0.06503845016603639,0.0663318021919081,0.153668027198223,False,5,0.0,False
bandwagon_effect,deepseek-v3-together,baseline,0.1279081632653061,0.04735345164133714,0.09427030751408684,0.10549521439927477,0.036469707010124676,True,4,0.0025,False
authority_bias,deepseek-v3-together,baseline,0.0125,0.014045671177411982,0.015000000000000001,0.020549473930589604,0.09708567280602924,False,4,0.0,False
primacy_recency,deepseek-v3-together,baseline,0.59,0.04995565904880047,0.0,0.04995565904880047,,False,1,0.03166666666666667,False
decoy_effect,llama-3.3-70b,baseline,0.5,0.0,0.5773502691896257,0.5773502691896257,0.09084505690810468,False,4,0.6666666666666666,False
sunk_cost_fallacy,minimax-m2.5,baseline,0.0,0.0,0.0,0.0,,False,3,0.70125,False
confirmation_bias,llama-3.3-70b,baseline,0.0,0.0,0.0,0.0,,False,5,0.6666666666666666,False
bandwagon_effect,llama-3.3-70b,baseline,0.0,0.0,0.0,0.0,,False,4,0.6666666666666666,False
confirmation_bias,minimax-m2.5,baseline,0.0,0.0,0.0,0.0,,False,3,0.656,False
authority_bias,llama-3.3-70b,baseline,0.0,0.0,0.0,0.0,,False,4,0.6666666666666666,False
authority_bias,minimax-m2.5,baseline,0.0,0.0,0.0,0.0,,False,3,0.5525,False
primacy_recency,llama-3.3-70b,baseline,1.0,0.0,0.0,0.0,,False,1,0.6666666666666666,False
anchoring,llama-3.1-8b,baseline,0.2405487473488337,0.10516366198277496,0.43732507846459934,0.4497917518760157,0.14305594294676374,False,5,0.0,False
availability_heuristic,llama-3.1-8b,baseline,0.19999999999999998,0.05314355153710427,0.29186501192363773,0.2966638202665806,0.13203745470205963,False,4,0.0,False
representativeness,llama-3.1-8b,baseline,0.1445402298850575,0.06354837901128492,0.11664401569367484,0.1328315582687645,0.04470166455887438,True,4,0.004166666666666667,False
framing_effect,llama-3.1-8b,baseline,0.7000000000000001,0.07981113841280908,0.2333333333333333,0.24660547897237198,0.017549359322992317,True,3,0.0,False
sunk_cost_fallacy,llama-3.1-8b,baseline,0.025,0.01944624194797224,0.031914236925211274,0.03737211319175829,0.10758497128477501,False,4,0.0,False
status_quo_bias,llama-3.1-8b,baseline,0.32222222222222224,0.0850107775235166,0.17105338131489614,0.1910133282114421,0.04124030205295882,True,3,0.0,False
decoy_effect,llama-3.1-8b,baseline,0.8916666666666667,0.051257921133246016,0.10671873729054746,0.11839030098699367,0.00023328910561500442,True,4,0.0,True
confirmation_bias,llama-3.1-8b,baseline,0.11333333333333333,0.05224761564232581,0.1169045194450012,0.12804874074732198,0.04802527801351684,True,5,0.0,False
bandwagon_effect,llama-3.1-8b,baseline,0.11091954022988504,0.05720244795221933,0.13387556542917356,0.14558429541233936,0.0980434873624759,False,4,0.004166666666666667,False
authority_bias,llama-3.1-8b,baseline,0.0,0.0,0.0,0.0,,False,4,0.0,False
primacy_recency,llama-3.1-8b,baseline,0.9655172413793104,0.03415011694730874,0.0,0.03415011694730874,,False,1,0.005555555555555556,False
decoy_effect,llama-3.1-8b,D3_counter,0.33999999999999997,0.046376928034190676,0.32197308376115336,0.3252959977014091,0.06256586722050725,False,4,0.0,False
decoy_effect,llama-3.1-8b,D1_cot,0.19499999999999998,0.05614008547955757,0.05802298395176406,0.08073645932488431,0.0033610851303437885,True,4,0.0,False
decoy_effect,llama-3.1-8b,D4_role,0.3107070707070707,0.06160386859674408,0.22253508738130376,0.23090452949626045,0.0341403318075129,True,4,0.03625,False
framing_effect,llama-3.1-8b,D1_cot,0.46708042625568397,0.04022496811747836,0.45597082065583855,0.4577416709778683,0.10900853770592009,False,3,0.004,False
primacy_recency,llama-3.1-8b,D1_cot,0.759795918367347,0.04361559516416059,0.0,0.04361559516416059,,False,1,0.0033333333333333335,False
framing_effect,llama-3.1-8b,D3_counter,0.5296969696969698,0.0310088717300643,0.5511147397611516,0.5519864187713076,0.20189911609413244,False,2,0.138,False
framing_effect,llama-3.1-8b,D4_role,0.35999999999999993,0.03934387734706083,0.3959797974644666,0.39792956749241515,0.2104165758394345,False,2,0.187,False
primacy_recency,llama-3.1-8b,D3_counter,0.52,0.10066071956826059,0.0,0.10066071956826059,,False,1,0.12833333333333333,False
primacy_recency,llama-3.1-8b,D4_role,0.5986956521739131,0.07225788436222531,0.0,0.07225788436222531,,False,1,0.11333333333333333,False
